,lab4-nz27.log,lab4-nz08.log,lab4-nz05.log,lab4-nz02.log,lab4-nz22.log,lab4-nz04.log,lab4-nz26.log,lab4-nz13.log,lab4-nz28.log,lab4-nz03.log,lab4-nz11.log,lab4-nz20.log,lab4-nz07.log,lab4-nz25.log,lab4-nz01.log,lab4-nz21.log,lab4-nz12.log,lab4-nz19.log,lab4-nz16.log,lab4-nz15.log,lab4-nz18.log,lab4-nz06.log,lab4-nz14.log,lab4-nz17.log,lab4-nz09.log,lab4-nz10.log,lab4-nz23.log,lab4-nz24.log
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,898.5614250000002,898.6970000000001,898.7081000000001,898.5635,898.6731,898.6924499999999,898.7225999999998,898.6009750000003,898.623475,898.5226749999999,898.6893999999999,898.7059750000001,898.60805,898.5259750000001,898.84945,898.6127749999999,898.5852250000002,898.5187000000002,898.624,898.7363749999997,898.3143250000003,898.5975500000002,898.729025,898.6589499999998,898.2492249999998,898.6593249999999,898.6733999999999,898.658975
std,1.497163298691471,2.0685296028698072,2.052769046671919,1.3621241518775722,1.8017442232886067,1.960016090331644,2.1168776813856596,1.7502812299668784,1.9408230211327773,1.779626990411192,1.840586832284608,1.9193956512469286,1.766893869521835,1.8308219883989694,2.1160617502259282,2.0239160756835437,1.7309019804788641,2.029757080324681,2.1954866407572657,2.2207231634289233,1.9300877937717413,1.4775300586989664,1.78756874692975,1.619763150618814,1.6617742987156274,2.131928107551761,1.948345817774926,1.6013002006782913
min,895.928,895.375,894.931,896.416,896.355,895.426,894.831,895.433,895.915,895.448,895.924,895.433,895.027,894.838,894.461,895.372,895.915,892.397,894.881,894.871,893.478,895.919,895.932,895.564,891.678,894.88,894.878,895.377
25%,897.3967500000001,897.3887500000001,897.2685,897.8732500000001,897.8637500000001,897.39825,897.39325,897.41,897.388,897.394,897.3965000000001,897.36225,896.902,896.90675,897.3960000000001,897.407,897.40075,897.3742500000001,896.906,897.2682500000001,897.2145,897.403,897.7605000000001,897.75175,897.7845,897.3807499999999,897.636,897.7635
50%,898.376,898.1220000000001,898.617,898.3675000000001,898.3779999999999,898.3705,898.4065,898.374,898.375,898.1005,898.668,898.3845,898.8795,898.8615,898.889,898.1695,898.3775,898.3885,898.8915,898.8195000000001,898.3725,898.3805,898.6220000000001,898.385,898.3735,898.389,898.6145,898.3935
75%,899.8454999999999,899.88375,900.3435000000001,899.00225,899.00125,899.8815,900.33375,899.60575,899.3595,899.3584999999999,899.8410000000001,899.9092499999999,900.03125,899.84375,900.3069999999999,899.35775,899.84525,899.8505,900.01325,899.48875,899.49075,899.7485,899.357,899.38025,898.897,900.01125,900.33675,899.36275
max,901.312,906.332,904.34,901.886,906.874,905.685,905.88,902.163,906.348,904.271,905.882,904.226,901.793,902.44,904.229,907.782,903.313,904.603,904.39,905.895,902.356,901.798,904.309,903.035,901.255,906.295,904.422,904.347
