pc,location,windows-vers,TPM-enabled,BL-ready-drive,BL-encrypted
laptop-na00,3.9,\\LAPTOP-NA00\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA00\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na17,S4,\\LAPTOP-NA17\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA17\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n079,3.11,\\LAPTOP-N079\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N079\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na01,3.7,\\LAPTOP-NA01\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA01\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na19,S8,\\LAPTOP-NA19\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA19\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n086,3.4,\\LAPTOP-N086\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N086\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n091,1.1,\\LAPTOP-N091\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N091\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n076,2.8,\\LAPTOP-N076\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N076\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n099,3.1,\\LAPTOP-N099\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N099\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na18,S6,\\LAPTOP-NA18\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA18\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n406,Aula Magna,\\LAPTOP-N406\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N406\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
